Date;Windows;macOS;Linux;ChromeOS;Others;
Jan 13;90,96;7,95;0,88;0,01;0,19;in %
Feb 13;90,87;7,95;0,93;0,02;0,23;in %
Mar 13;91,16;7,70;0,95;0,02;0,17;in %
Apr 13;91,28;7,47;1,05;0,02;0,18;in %
May 13;90,84;7,61;1,28;0,02;0,24;in %
Jun 13;90,43;7,87;1,30;0,02;0,38;in %
Jul 13;90,49;7,81;1,23;0,03;0,43;in %
Aug 13;90,56;7,63;1,23;0,03;0,55;in %
Sep 13;90,89;7,41;1,02;0,04;0,64;in %
Oct 13;90,63;7,42;1,10;0,04;0,81;in %
Nov 13;90,34;7,45;1,15;0,05;1,01;in %
Dec 13;89,55;7,83;1,13;0,10;1,39;in %
Jan 14;88,87;8,35;1,13;0,14;1,50;in %
Feb 14;89,65;8,39;1,14;0,16;0,64;in %
Mar 14;89,61;8,58;1,16;0,18;0,47;in %
Apr 14;89,18;8,85;1,34;0,19;0,44;in %
May 14;88,83;8,85;1,58;0,19;0,54;in %
Jun 14;89,27;8,56;1,37;0,19;0,61;in %
Jul 14;89,25;8,59;1,34;0,19;0,63;in %
Aug 14;89,15;8,65;1,38;0,21;0,61;in %
Sep 14;88,49;9,15;1,39;0,25;0,72;in %
Oct 14;88,28;9,13;1,41;0,27;0,90;in %
Nov 14;88,47;8,98;1,33;0,28;0,93;in %
Dec 14;88,74;8,67;1,39;0,29;0,91;in %
Jan 15;88,19;9,10;1,46;0,33;0,92;in %
Feb 15;88,08;9,09;1,55;0,34;0,95;in %
Mar 15;86,99;9,83;1,82;0,34;1,01;in %
Apr 15;87;9,61;1,91;0,35;1,13;in %
May 15;86,09;10,51;1,77;0,38;1,25;in %
Jun 15;86,30;10,17;1,77;0,29;1,48;in %
Jul 15;87,70;8,60;1,52;0,26;1,91;in %
Aug 15;88,07;8,18;1,50;0,30;1,95;in %
Sep 15;87,48;8,63;1,55;0,41;1,94;in %
Oct 15;86,44;9,02;1,57;0,46;2,52;in %
Nov 15;85,84;9,36;1,50;0,47;2,82;in %
Dec 15;84,89;9,80;1,48;0,51;3,32;in %
